Property,repo_path,severity,tag,subtag,description
132,a8a9998bfe4a,Medium,Slippage,Invalid  Slippage Control / Missing slippage check,"TransmuterBuffer._alchemistWithdraw() hardcodes slippage to 1%, not allowing users to set their desired slippage. User may lose up to 1% funds without knowing, or can’t choose higher slippage and cause transaction reverts during volatility."
133,a8a9998bfe4a,Medium,"DoS, Flashloan",State Update Inconsistency,"AlchemistV2 sets _mintingLimiter to limit the token minted amount in a period. The mint operation decreases the _mintingLimiter, but the burn operation does not replenish it, and the debt position is updated during the burn phase, so attacker can mint again after burning.  An attacker can loop the mint-burn action using flashloan to saturate the mint limit, preventing others from minting."
134,a8a9998bfe4a,Medium,Accounting Error,Implementation Error,"WstETHAdapterV1.price() should convert WstETH to WETH, but it only converts WstETH to stETH, lacking the part of converting stETH to WETH. The returned price is wrong and can lead to incorrect balance calculation and harvestable amount."
135,a8a9998bfe4a,Medium,"DoS, Input Validation",Invalid Validation," If totalShares is 0 while pendingCredit is positive, AlchemistV2_calculateUnlockedCredit() will return a positive value since it depends on pendingCredit. This allows the non-zero check to pass, but ultimately results in a division-by-zero error because totalShares is 0. This situation can be established by first depositing and accumulating yield after some time, then calls harvest() to invoke _distributeCredit() and increases pendingCredit; lastly withdraw to remove all funds to make totalShare to 0.
_distributeCredit(), _distributeUnlockedCredit(), _calculateUnrealizedDebt(), _convertSharesToYieldTokens(), and donate() will revert, affecting actions such as deposit, withdraw, mint, burn, repay, liquidate, donate and harvest. Plus, pendingCredit amount of tokens will be stock in the contract."
136,a8a9998bfe4a,Medium,Input Validation,"Peg / Depeg, Price Manipulation / Arbitrage opportunity","AlchemistV2.repay() reduces debt (alToken) based on the amount of the underlyingToken in a fixed 1:1 ratio (AlchemistV2._normalizeUnderlyingTokensToDebt() only adjust underlyingToken to same decimal), without accounting for whether the underlyingToken has depegged.  Debt can be repaid with depegged underlyingToken and users can perform arbitrage, resulting in alToken having the same price as the most depegged underlyingToken. "
137,727004c1c07c,Medium,ERC1155,Not EIP Compliant,"In CNft.sol, the safeTransferFrom function does not execute according to the EIP-1155 specification for success or failure, but instead unconditionally reverts and requires the use of safeBatchTransferFrom. This undermines standard behavior and weakens composability with other protocols."
138,727004c1c07c,Medium,Chainlink,Deprecated Library,Chainlink pricer is using a deprecated API
139,727004c1c07c,Medium,DoS,Out of Gas,call() should be used instead of transfer() on an address payable
140,727004c1c07c,Medium,Compound,Reward Manipulation,"Due to the logic responsible for checking and updating supplier allocations being commented out in updateCompSupplyIndex() and distributeSupplierComp(), the distribution of COMP rewards cannot be accurately recorded for inflows and outflows from the supply side. This allows users to repeatedly supply and remove assets across multiple accounts to claim rewards multiple times, undermining the distribution mechanism."
141,b0b4fa38c58e,High,ERC20,Missing Return Check,"The contract does not check the return value when executing ERC20 token transfers, allowing tokens that return false instead of reverting (such as ZRX) to create vaults and defraud buyers without actually transferring assets."
142,b0b4fa38c58e,High,Logic Error,Bad Condition,"The price decline formula in getDutchAuctionStrike() causes the price to reach the reserve price before the auction duration ends, resulting in a static price for the remaining time and reducing the actual effective time and efficiency of the auction process."
143,b0b4fa38c58e,High,"ERC20, Solmate",Missing Return Check,"createVault() uses Solmate's SafeTransferLib to transfer ERC20 tokens without checking whether the target address is a contract.This leads to successful transactions and incorrect balance records when transferring to non-existent token addresses, allowing attackers to set traps and steal funds from future users."
144,b0b4fa38c58e,Medium,Access Control,"Centralization Risk, Missing Upper/Lower Bound Check","The contract owner can adjust the feeRate at any time, allowing them to set an extremely high rate temporarily before executing a high-value transaction, effectively intercepting the execution profits."
145,b0b4fa38c58e,Medium,Input Validation,Invalid Validation,"createVault() does not verify that the incoming token cannot be the Cally's own token, allowing users to create vaults that cannot be withdrawn from, permanently locking the ETH paid by buyers in the contract."
146,b0b4fa38c58e,Medium,Input Validation,Bad Condition,"buyOption() only checks if msg.value >= premium rather than strictly equal, allowing users to accidentally overpay, with the excess amount being directly collected by the vault creator."
147,b0b4fa38c58e,Medium,ERC20,Rebase Token,"When using a Rebase ERC20 token that automatically increases its balance as vault assets, the additional accumulated rewards will be locked within the vault and cannot be withdrawn by the seller or owner, resulting in funds being permanently inaccessible."
148,b0b4fa38c58e,Medium,Arithmetic,Bad Condition,"Due to insufficient temporary variable types when calculating the expiration time, an overflow occurs during intermediate calculations when the term is ≥ 195 days, resulting in a logic error that prevents the proper establishment of the call option."
149,b0b4fa38c58e,Medium,Access Control,Centralization Risk,"The contract owner can set the feeRate to exceed 100% at any time, causing the exercise operation of the option to fail due to underflow."
150,b0b4fa38c58e,Medium,Input Validation,Invalid Validation,"createVault() does not check if tokenIdOrAmount > 0, allowing malicious users to create vaults with an infinite quantity and an amount of 0."
151,b0b4fa38c58e,Medium,ERC20,Fee On Transfer Token,"Due to the contract's failure to handle the transfer discrepancies of fee-on-transfer ERC20 tokens,'the amount recorded in the vault may exceed the actual number of tokens received."
152,b0b4fa38c58e,Medium,ERC721,onERC721Received callback,The contract uses transferFrom() instead of safeTransferFrom() when transferring ERC721 tokens.
153,b0b4fa38c58e,Medium,Input Validation,Invalid Validation,"`createVault()`` does not validate the matching of tokenType with the contract type of token, allowing ERC721 tokens to potentially be treated as ERC20 tokens and permanently frozen in the vault."
154,ec394ead8172,Medium,DoS,Invalid Validation,"In the XC20Wrapper contract, the removeWrapping() function can be executed even when wrapped tokens are still in circulation, resulting in unwrapped[wrappedToken] being set to address(0)."
155,ec394ead8172,Medium,"DoS, ERC20",No Recovery Mechanism,"If _executeWithToken reverts, the tokens will be locked in the bridge and cannot be recovered."
156,ec394ead8172,Medium,Access Control,State Update Inconsistency,"After updating the access control, the old operator can still vote using their previous voting power.
"
157,ec394ead8172,Medium,Access Control,State Update Inconsistency,"The AxelarGateway contract allows old operators to call transferOperatorship multiple times within the same execute() call, because the currentOperators state is not updated immediately within each iteration of the loop."
158,ec394ead8172,Medium,Cross-Chain,"Does not match with Doc, No Recovery Mechanism","When performing cross-chain transactions, there's a risk of the transaction getting stuck. It's necessary to add options for refunding or canceling the transaction.
"
159,e5f8a519b24f,High,ERC20,Missing Return Check,Unsafe usage of ERC20 transfer and transferFrom
160,e5f8a519b24f,High,Governance,Bypass Mechanism,"In the VotingEscrow system, delegators can delegate their locked voting power to another address. However, the contract design allows accounts that are on the blocklist to immediately undelegate after calling forceUndelegate(), and this process resets locked_.end to the current account's lock expiration time. Malicious users can exploit this by controlling the relationship between the delegator and the delegatee, intentionally triggering self-blocking when they want to unlock early, thus forcing the undelegation and bypassing the original commitment restrictions that should last until the end of the locking period. This allows them to redeem tokens early and repeat the process."
161,e5f8a519b24f,Medium,ERC20,Fee On Transfer Token,The current implementation of the VotingEscrow contract doesn’t support fee on transfer tokens
162,e5f8a519b24f,Medium,Access Control,Bypass Mechanism,"Blocklist.block() checks if an address is a contract before blocking it by only using _isContract(addr), which relies on confirming that extcodesize > 0. This determination depends on the current code length of the address. Malicious actors can call selfdestruct() after interacting with the system to delete the contract, causing extcodesize to become 0 and bypassing the check. They could even use CREATE2 to redeploy the same or different logic contract at the same address to continue interaction."
163,e5f8a519b24f,Medium,Governance,Invalid Validation,"There is no check to determine if the caller's lock has expired. As a result, users with expired locks can delegate to other active locks as long as the locked amount has not been withdrawn. This can be used to influence voting power."
164,e5f8a519b24f,Medium,Governance,Incorrect Parameter,"In VotingEscrow.increaseUnlockTime(), when constructing the oldLocked struct passed to _checkpoint(), the oldLocked.end is erroneously set to the new lock's unlock_time instead of the original oldUnlockTime."
165,e5f8a519b24f,Medium,Arithmetic,Unsafe Downcast,Unsafe casting from int128 can cause wrong accounting of locked amounts
166,e5f8a519b24f,Medium,Governance,Bad Condition,_checkpoint update is missed incase locked_.delegatee |= msg.sender
167,e5f8a519b24f,Medium,Access Control,No Recovery Mechanism,"When a user is added to the Blocklist, they can avoid having their funds stuck by calling forceUndelegate() (triggered during blocking) to revoke their delegation. However, if the system administrator changes the blocklist contract address during a migration or due to an error, and the new contract returns true for isBlocked() for a specific account that has not gone through the normal blocking process (and thus has not triggered forceUndelegate()), that account will be treated as blocked.Consequently, the user's tokens become locked in the contract, as there is no mechanism for lifting the block or recovering funds."
168,e5f8a519b24f,Medium,"Flashloan, Governance",Missing Time Constraint,"An attacker can use a flashloan and the quitLock function to achieve a large amount of votes for one transaction. It can, depends on the implementation of the modules that will use this contract, be used to pass malicious proposals or exploit any feature that depends on the voting balance."
169,82a1b82850c4,High,"DoS, Governance",Bad Condition,"If an active proposal accumulates over 80% of total votes but fails to execute, the remaining votes are insufficient to activate a new proposal due to the 20% endorsement threshold, effectively locking governance indefinitely and preventing vote reclamation or further proposals."
170,82a1b82850c4,High,Input Validation,"Front Run, Invalid Validation","When all contracts have been deployed and/or initialized, the OlympusVotes contract does not mint an initial token supply. This would allow users to be able to submit proposals, then vote and execute proposals if there has been no token supply (totalSupply = 0)."
171,82a1b82850c4,High,MEV,Front Run,"An attacker can front-run a reduction in token withdrawal approval by executing a withdrawal using the higher previous allowance, and then withdraw again under the newly reduced approval, resulting in over-withdrawal beyond the intended limit."
172,82a1b82850c4,Medium,Logic Error,State Update Inconsistency,"The Operator::setReserveFactor function updates the reserveFactor but fails to trigger the necessary regeneration logic. The Range module may operate with outdated capacity thresholds, potentially leaving the bond market open or closed incorrectly."
173,82a1b82850c4,Medium,Solmate,Missing Return Check,"In getloan() and replayloan(),the safetransfer and safetransferfrom doesn't check the existence of code at the token address. If safetransfer() and safetransferfrom() are called on a token address that doesn't have contract in it, it will always return success, bypassing the return value check. "
174,82a1b82850c4,Medium,Input Validation,Stale Value,"If the asset price remains outside the defined wall price for longer than _config.regenWait, RBS may automatically redeploy funds even though the price has not returned to the safe zone. This could result in the treasury buying or selling at prices far from the market value, causing loss of funds."
175,82a1b82850c4,Medium,Reentrancy,Violating CEI / Missing nonReentrant,"The executeProposal() function resets the activeProposal state before executing the proposal instructions. An attacker can repeatedly re-enter and execute the same instructions through nested calls, potentially leading to unauthorized module installations or fund manipulation."
176,82a1b82850c4,Medium,Input Validation,Invalid Validation,The method Governance.submitProposal doesn't check if the proposalId (stored in a different contract) exists already as a valid proposal in getProposalMetadata.
177,82a1b82850c4,Medium,Governance,"Bad Condition, Does not match with Doc","When the voting tokens are transferrable, one user can first use her or his votes to call the following endorseProposal function to endorse a proposal and then transfer these votes to another user. The other user can use these votes to endorse the same proposal again afterwards. Because of the double-endorsement, the (totalEndorsementsForProposal[proposalId_] * 100) < VOTES.totalSupply() * ENDORSEMENT_THRESHOLD condition can become true so the proposal can be activated by calling the activateProposal function below. "
178,82a1b82850c4,Medium,Accounting Error,State Update Inconsistency,Endorsed votes by a user do not decrease after the user's votes are revoked
179,82a1b82850c4,Medium,TWAP,"Implementation Error, Price Manipulation / Arbitrage opportunity","A TWAP is a Time-Weighted average price, but the algorithm below does not take into account the time between observations"
180,82a1b82850c4,Medium,"Governance, Input Validation",Invalid Validation,"The activateProposal() function allows immediate replacement of the active proposal without any delay. Since the vote() function does not specify a proposal ID, users might unknowingly vote on a different proposal if activateProposal() is called right before or in the same block, creating potential for front-running and governance manipulation."
181,82a1b82850c4,Medium,Governance,Bad Condition,"Once a user votes on a proposal, they cannot vote again—even if new votes are issued or revoked during the voting period. This creates inconsistencies between the recorded vote and the evolving total supply, potentially distorting quorum and outcome calculations, and undermining the reliability of governance results."
182,82a1b82850c4,Medium,Governance,"Bypass Mechanism, Implementation Error","A user can call vote() and then immediately reclaim their voting tokens using reclaimVotes() within the same transaction. This temporarily hides their voting power from the voter_admin, preventing any revocation via revokeVotesFrom() ."
183,82a1b82850c4,Medium,"DoS, Input Validation",Invalid Validation,"The TreasuryCustodian.revokePolicyApprovals() function can be abused to revoke withdrawal approvals from EOAs. Since the function only checks isActive() and interprets a failed call as false, any EOA (which naturally returns false when isActive() is called) can have its approvals griefed."
184,82a1b82850c4,Medium,Input Validation,Invalid Validation,There are no checks to ascertain that the policy being removed is registered in the Kernel. Trying to remove a non-registered results in the policy registered at 0th index of activePolicies being removed.
185,82a1b82850c4,Medium,"DoS, Governance",Front Run,"A malicious user holding just enough voting power to meet the ENDORSEMENT_THRESHOLD (e.g., 20%) can repeatedly submit and activate dummy proposals. "
186,82a1b82850c4,Medium,DoS,Refund Failed,"If all reward tokens are withdrawn using withdrawUnspentRewards(), the internal _issueReward() function will fail on the next beat() call due to insufficient token balance."
187,82a1b82850c4,Medium,Input Validation,Invalid Validation,"In both RANGE.sol and Operator.sol, the constructor() functions accept parameters like spreads and factors, but fail to enforce the same input validation checks found in the corresponding setter functions such as setSpreads(), setThresholdFactor(), and setCushionFactor()."
188,82a1b82850c4,Medium,Governance,Missing Upper/Lower Bound Check,"The voter_admin role can mint unlimited VOTES, and since there's no cap on totalSupply, this allows the admin to arbitrarily adjust the execution threshold by inflating the supply. "
189,82a1b82850c4,Medium,Oracle,"Bad Condition, Stale Value","In getCurrentPrice(), the staleness check for OHM price data allows a freshness window of 3 * observationFrequency, whereas the reserve token price uses a stricter 1 * observationFrequency. This inconsistency can cause the entire price-fetching logic to revert if the reserve token’s oracle doesn't update as frequently as expected, even when the OHM oracle is within the acceptable window. "
190,82a1b82850c4,Medium,"ERC777, Reentrancy",Cross-Function Reentrancy,"The repayLoan() function in OlympusTreasury measures the received repayment amount by comparing token balances before and after safeTransferFrom(). However, if the token is an ERC777 with a tokensToSend() hook, an attacker can perform a reentrant call to Operator::swap() within that hook. This alters the Treasury's token balance mid-execution, tricking the contract into overestimating how much debt was repaid."
191,82a1b82850c4,Medium,DoS,Bad Condition,"If wallSpread is set to 10000 (100%), the lower wall price computed in RANGE::updatePrices() becomes zero. This causes a division by zero in Operator::_activate() when computing invWallPrice. When the market enters a state where the lower wall is active and the price falls between the cushion and wall levels, operate() will revert. "
192,82a1b82850c4,Medium,DoS,"Incorrect Parameter, State Update Inconsistency","After a loan is issued from the Treasury via getLoan(), the getReserveBalance() function still reports an inflated token balance that includes the borrowed tokens and it breaks other contract functionality like swaps."
193,82a1b82850c4,Medium,Reentrancy,Cross-Function Reentrancy,"The repayLoan() function in the Treasury module calculates the repaid amount by comparing the Treasury’s token balance before and after safeTransferFrom(). If a malicious actor can exploit a cross-contract hook (e.g., protocol revenue payout or ERC777 tokensToSend behavior) during the transfer call to send additional tokens to the Treasury, the contract mistakenly attributes those tokens as loan repayment, reducing the attacker's debt unfairly."
194,82a1b82850c4,Medium,Chainlink,Stale Value,Function OlympusPrice.getCurrentPrice retrieves price using latestRoundData but the implementation is missing essential security checks which can result in stale and incorrect prices being returned.
195,82a1b82850c4,Medium,Arithmetic,Precision Loss,"The precision is lost in moving average calculations as the difference is calculated separately and added each time, while it typically can be small enough to lose precision in the division involved."
196,82a1b82850c4,Medium,Input Validation,Invalid Validation,"If Actions.MigrateKernel is not placed as the last instruction in a proposal, subsequent instructions—such as DeactivatePolicy—will fail due to the Kernel reference having changed mid-execution. Since affected functions rely on onlyKernel checks, they will revert, rendering the proposal unexecutable."
197,82a1b82850c4,Medium,Input Validation,Invalid Validation,"In Kernel._activatePolicy, no checks are done to ensure that the policy is not already registered in the Kernel contract. The check policy_.isActive() depends on an external call, and should be less preferred over contract's storage in this case. Successfully adding duplicate policy would result in failure when trying to deactivate it."
198,82a1b82850c4,Medium,"Access Control, Accounting Error",Asset Theft,"In both withdrawReserves() and in getLoan(), _checkApproval() is used to verify user has enough approval and subtracts the withdraw / loan amount. Therefore, there is no differentiation in validation between loan approval and withdraw approval."
199,82a1b82850c4,Medium,"Logic Error, Oracle","Implementation Error, Price Manipulation / Arbitrage opportunity","If Heart::beat() has not been called for a while, a user can invoke it multiple times within a single block, collecting the reward repeatedly and triggering redundant logic executions, which can lead to unnecessary updates and excessive token payouts."
200,82a1b82850c4,Medium,Oracle,"Price Manipulation / Arbitrage opportunity, Stale Value","Even when the beat() function is no longer called and oracle data becomes stale, the protocol continues to allow swaps against the RBS walls and cushion bonds. This enables arbitrage traders to exploit outdated prices, potentially draining treasury assets through favorable zero-slippage trades."
201,82a1b82850c4,Medium,Logic Error,Implementation Error,"After deployment, the admin address in the Kernel contract can only be changed to another contract, not to an EOA. Since only contracts like INSTR can call executeAction, and INSTR restricts targets to contracts, it's impossible to later assign admin rights to an EOA, which may have been the intended governance executor."
202,70080e8fc005,High,"Arithmetic, ERC721, Governance",Incorrect Parameter,"_afterTokenTransfer incorrectly transfers voting units between ""user addresses"" instead of ""delegated addresses,"" causing an underflow in the unchecked block of _moveDelegates that grants accounts maximum voting power."
203,70080e8fc005,High,"DoS, ERC721, Governance","Incorrect Parameter, Invariant Violation","_afterTokenTransfer incorrectly attempts to subtract voting units from the ""token owner"" instead of their ""delegate,"" causing a revert when the owner’s direct voting balance is zero after delegation, thereby freezing NFT transfers and burns."
204,70080e8fc005,High,Logic Error,"Implementation Error, Incorrect Parameter","_writeCheckpoint fails to consolidate multiple updates within the same block, allowing multiple checkpoints with identical timestamps to corrupt the binary search in getPastVotes, leading to incorrect voting weight calculations."
205,70080e8fc005,High,Accounting Error,Bad Condition,"_delegate directly accesses the delegation mapping instead of using a helper function to resolve the default delegate, causing the initial prevDelegate to be address(0) and allowing users to mint ""new"" votes to themselves during their first self-delegation.
"
206,70080e8fc005,High,Accounting Error,Does not match with Doc,"The implementation failed to follow OpenZeppelin ERC721Votes’ documentation: “Tokens do not count as votes until they are delegated.” The _transferFrom() function does not move delegated votes from the source’s delegates to the destination’s delegates; instead, it directly moves votes from the source to the destination.This allows users to create new accounts and repeatedly delegate to indefinitely increase their voting power, holding more votes than they actually should."
207,70080e8fc005,Medium,Arithmetic,Precision Loss,"At the early stage of the deployed DAO, if the token supply is low, the calculation settings.token.totalSupply() * settings.quorumThresholdBps) / 10_000 inside function quorum() may return 0, causing proposal.quorumVotes to be set to 0. "
208,70080e8fc005,Medium,"Input Validation, Pause",Invalid Validation,"The unpause() function incorrectly assumes auction.tokenId == 0 always implies the first auction hasn't started, causing it to re-initialize a new auction and reset the state, which orphans the existing bid and NFT #0 if the first auction was already active."
209,70080e8fc005,Medium,"DoS, Logic Error","Bad Condition, Out of Gas","In the Token.mint() function, a while loop checks _isForFounder(tokenId), and inside _isForFounder, _tokenId is taken modulo 100 before querying tokenRecipient. If the first 100 tokenIds' tokenRecipient entries are all vesting (such as when the total founders’shares sums to 100%, filling all entries), _isForFounder will always return true, causing mint() to enter an infinite loop."
210,70080e8fc005,Medium,Arithmetic,Incorrect Parameter,"Due to the incorrect modulo operation when filling the tokenRecipient mapping, some founders may receive IDs greater than 100, resulting in those IDs never being minted.Under certain allocation settings ((100 / pct1) - (100 / pct2) == 1), founders will receive fewer tokens than their configured percentage."
211,70080e8fc005,Medium,"DAO, Governance",Bad Condition,"The cancel function uses a strict ""greater than"" check ($>$) for the proposal threshold, whereas the propose function allows equality ($\ge$), enabling anyone to cancel a proposal if the proposer's voting power exactly equals the threshold.
"
212,70080e8fc005,Medium,"DoS, Governance",Missing Upper/Lower Bound Check,"Absence of reasonable maximum and minimum bounds for critical parameters in governance, treasury, and auction.
"
213,70080e8fc005,Medium,"DoS, Input Validation",Invalid Validation,"_delegate allows users to delegate to address(0), which clears the owner’s voting checkpoints without updating their delegation status; consequently, _afterTokenTransfer later attempts to subtract votes from the now-zero balance, causing a revert that permanently bricks token transfers and burning."
214,70080e8fc005,Medium,"Accounting Error, Governance, Input Validation",Invalid Validation,"When a user delegates voting power to address(0) through _delegate() , _to's vote weight won’t change since _writeCheckpoint() (where the acutal vote weight changes) inside _moveDelegateVotes() wil be skipped (because _to is address(0)).The delegation of voting power to the address(0) will permanently burn that voting power."
215,70080e8fc005,Medium,"DoS, Input Validation","Does not match with Doc, Invalid Validation, Missing Upper/Lower Bound Check","MetadataRenderer uses a fixed-size array of 16 for tokenAttributes but allows owners to add more than 15 properties, causing an ""Index out of bounds"" revert during the onMinted callback and permanently bricking the token minting process."
216,70080e8fc005,Medium,Accounting Error,"Invariant Violation, State Update Inconsistency"," The protocol use token.totalSupply() to calculates quorumVotes, but token.totalSupply() takes into account burned tokens and tokens held in the auction contract, which don’t have any actual voting power, which means the actual quorumThresholdBps is equal or higher than the setted quorumThresholdBps.
 The worst-case scenario is that quorum becomes so high that a proposal cannot pass even if everybody voted and everybody voted for, potentially locking funds into the contract."
217,70080e8fc005,Medium,"Governance, Input Validation",Invalid Validation,"Lack of address(0) check for vetoer address in initialize() and 2 step address changing process (set pending address and claim by himself) in updateVetoer() for vetoer address, resulting in veteor address be set to address(0) or an arbitrary address.
"
218,70080e8fc005,Medium,Logic Error,Bad Condition," _createAuction() wraps the token.mint() call in a try-catch block, however, due to the Error(string memory) behind catch, this will only catch reverts that comes from the require keyword and not the reverts with custom errors or other kinds of errors (arithmetic over/underflow etc.).In case of an error at mint() the auction won’t be settled till the owner and pauses the contract."
219,70080e8fc005,Medium,Access Control,Centralization Risk,"The veto function grants the vetoer absolute, permanent, and unrestricted power to block any proposal regardless of its state or community consensus, creating a single point of failure where a compromised or malicious actor can indefinitely paralyze the DAO's governance."
220,70080e8fc005,Medium,"DoS, Governance","Front Run, Nonce","The proposalId is derived solely from proposal content without incorporating the msg.sender or a nonce. This allows an attacker to front-run a legitimate proposal, create it first, and immediately cancel it, permanently preventing the original content from being proposed again due to the PROPOSAL_EXISTS check."
221,70080e8fc005,Medium,"DoS, Pause",1/64 Gas Rule,"The _createAuction function uses a try/catch block for token.mint(), which can be manipulated via EIP-150’s 63/64 gas rule. By providing a specific amount of gas, an attacker can force the minting call to fail due to Out-of-Gas while leaving enough gas for the catch block to execute _pause(), effectively allowing any user to halt the auction."
222,70080e8fc005,Medium,Access Control,Centralization Risk,"Auction parameter setters (e.g., duration, reserve price) lack state checks or caching mechanisms, allowing owners to modify critical settings during an active auction, which can lead to immediate settlement, failed bids, or manipulated user expectations."
223,70080e8fc005,Medium,"Arithmetic, DAO",Precision Loss,"At the early stage of a DAO, inside function proposalThreshold() it is possible that proposalThreshold rounds down to 0 because the token supply is low, causing the check in propose() not revert, so anyone can create proposals. Besides this, quorum() will return 0 due to the same logic, resulting in the proposal to be executed without being votes.
Impact: Anyone can create a proposal and the proposal can pass without anyone votes."
224,70080e8fc005,Medium,Arithmetic,Scaling,"With collections of more than 20000 NFTs, proposalThreshold() and quorum() can’t return 1 since the lowest number of settings.proposalThresholdBps and settings.quorumThresholdBps are 1 and the divisor is set to 10000.High total supply NFT can have threshold set to 1."
225,70080e8fc005,Medium,Governance,Incorrect Parameter,"In the Governor contract, parameters related to proposal (e.g., quorum & threshold) are depends on the total supply in the current timestamp but not the previous timestamp, so these values can be changed if total supply cahnges later in the same block because tehy are still eligible to vote.Attckers can lower the threshold and quorum by incresaing totalSupply."
226,70080e8fc005,Medium,Input Validation,Invalid Validation,"The protocol accepts both externally owned accounts (EOAs) and contract accounts as users, without restricting users to only EOAs. Users can transfer their voting power to a smart contract that offers higher incentives, resulting in that contract having increased voting power."
227,70080e8fc005,Medium,Arithmetic,Unsafe Downcast,"The initialize function performs an unsafe cast of founderPct to uint8 when calculating the cumulative totalOwnership. If a founder's percentage is a multiple of 256 (e.g., 256, 512), the truncated value becomes 0, bypassing the ""maximum 100%"" check and allowing malicious founders to monopolize the base token distribution logic."
228,70080e8fc005,Medium,Accounting Error,"Invariant Violation, State Update Inconsistency","The burn function in the Token contract does not decrement settings.totalSupply. Since founder allocations are based on a fixed schedule relative to a continuously increasing counter, burning unsold auction tokens reduces the actual circulating supply without adjusting the founders' fixed claim, effectively granting them a higher ownership percentage than the intended fixed percentage."
229,70080e8fc005,Medium,DoS,State Update Inconsistency,"Governor.transferOwnership() and Auction.transferOwnership() can be called by Treasury.sol through a governance proposal, causing a mismatch between the contract owner and settings.treasury.settings.treasury is not able to modify any governance parameters."
230,70080e8fc005,Medium,Logic Error,Incorrect Formula,"The ""greedy"" founder minting logic processes all reserved slots consecutively in a single mint() call. If the vestExpiry (vesting expiration) occurs mid-cycle, a founder with a higher reserved index range may capture nearly their entire 100-token-cycle allocation, while other founders lose their scheduled tokens for that cycle entirely."
231,70080e8fc005,Medium,"DoS, Input Validation",Invalid Validation,It is not possible to mint a ERC721 token if its properties has different length than it's items.
232,70080e8fc005,Medium,"DoS, Input Validation",Invalid Validation,"addProperties() doesn’t check newly added property has at least one item. Minting becomes impossible if  a property without items was added, and an item is only possible through a new governance proposal to be added to a property."
233,70080e8fc005,Medium,"DoS, Input Validation",Invalid Validation,"MetadataRenderer.onMinted() allows minting tokens without verifying that properties have been set, leading to tokens with no attributes. Such tokens won’t be able to render since MetaRenderer.getAttributes will revert with TOKEN_NOT_MINTED error."
234,70080e8fc005,Medium,Governance,Bad Condition,"In Governor.state(), 
the logic for determining whether a proposal is defeated uses the < operator but not <=. When forVotes and againstVotes are equal, the proposal is not considered defeated even if forVotes does not exceed againstVotes. Proposals can passed without majority support."
235,bb9c2df58c59,Medium,Upgradeable,Diamond,"If the governor key is leaked, an attacker can frontrun the execution with a malicious _calldata after the notice period, bypassing the intended upgrade protection. Without early detection of key leakage, the system cannot prevent malicious upgrades."
236,bb9c2df58c59,Medium,Zksync,EVM Compatibility,"The BLOCK_PERIOD is incorrectly set to 13 seconds instead of Ethereum's actual 12-second PoS block time, causing priority transactions to expire 5.5 hours earlier than expected on zkSync."
237,f4d8a18e633f,High,ERC4626,"Not EIP Compliant, Rounding Error","AutoPxGlp and AutoPxGmx are not compliant with ERC4626 standard, previewWithdraw should round up."
238,f4d8a18e633f,High,ERC4626,Inflation Attack,"The Vault's first deposit lacks a minimum amount or fixed shares mechanism, allowing the first depositor to use a very small number of shares to increase the share price after additional assets are transferred in. By using the rounding down formula, subsequent depositors may receive very few shares, ultimately allowing the first depositor to siphon off the principal from other depositors."
239,e68d196f2fbd,High,Arithmetic,Precision Loss,"invariant() performs division before multiplication when executing FullMath.mulDiv(), leading to data being truncated when dealing with low-precision decimal tokens. This allows attackers to extract assets while still satisfying the invariant condition."
240,e68d196f2fbd,Medium,ERC20,Fee On Transfer Token,"mint() uses the input parameter collateral to determine the actual amount received, overlooking the fact that fee-on-transfer ERC20 tokens can lead to a shortage of collateral. This results in a failed check and prevents support for such tokens."
241,e68d196f2fbd,Medium,DoS,Missing Functionality,"When adding liquidity for the first time, the protocol requires users to manually input amount0Min, amount1Min, and liquidity simultaneously, lacking on-chain verification or automatic calculation mechanisms. This can result in imprecise values and may lead to reverts."
242,e68d196f2fbd,Medium,MEV,Price Manipulation / Arbitrage opportunity,The design of upperBound in relation to liquidity distribution can create incentives for liquidity concentration and front-running liquidations as market prices and borrowing behaviors change. This allows the fastest participants to exit early or lock in funds to capture MEV (Maximal Extractable Value) profits.
243,e68d196f2fbd,Medium,Uniswap,Incorrect Parameter,"zeroswap/UniswapV2Library.sol Wrong init code hash in UniswapV2Library.pairFor() will break UniswapV2Oracle, UniswapV2Router02, SushiRoll"
244,e68d196f2fbd,Medium,Logic Error,"Bad Condition, No Recovery Mechanism","The method checks the amount received from the user with the condition if (balanceAfter < balanceBefore + collateral) revert InsufficientInputError();. However, the user may actually pay more collateral. In this case, no funds are returned to the caller, and they do not receive additional liquidity or shares."
245,e68d196f2fbd,Medium,Arithmetic,Precision Loss,Division before multiplication incurs unnecessary precision loss
246,e269b2c934ee,High,"Logic Error, Rebalance",Incorrect Parameter,"In the rebalance() function of Timeswap V2, when a user executes TimeswapV2PoolRebalance.GivenLong1, the contract mistakenly uses pool.long0Balance as the calculation parameter, whereas it should be pool.long1Balance."
247,e269b2c934ee,High,ERC1155,Reward Manipulation,"In ERC1155, using totalSupply() + 1 as the new tokenId may lead to duplication, which can result in incorrect asset allocation."
248,e269b2c934ee,High,DoS,Missing Initialization,"The collect() function calls transferFees() before long0Fees, long1Fees, and shortFees are properly initialized. As a result, the actual transfer amount is zero. Although the fees in _feesPositions are still burned, the user does not receive any funds, leading to asset loss and state inconsistency."
